chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	cage_id_hg19	biotype_hg19	name_peak_hg19	seq_orth	cage_orth	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	cage_id_mm9	biotype_mm9	name_peak_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	har	orig_species	lift_species	oligo_type	hg19_id	mm9_id	cleaner_biotype_hg19	cleaner_biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9
chr1	2985430	2985431	-	chr1:2985420..2985438,-	div_lnc	ENSG00000177133.6	True	True	chr4	154011252	154011253	+	chr4:154011250..154011257,+	div_lnc	ENSMUSG00000085069.2	2.54	0.85	0.07111110000000001	0.0	False	human	mouse	human__divergent:mouse__divergent	h.2	m.1	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	8086552	8086553	+	chr1:8086546..8086571,+	div_lnc	ENSG00000238290.1	True	True	chr4	150229044	150229045	-	chr4:150229039..150229050,-	antisense	ENSMUSG00000078492.3	0.3	0.14	0.10444400000000001	0.0	False	human	mouse	human__divergent:mouse__antisense	h.3	m.2	div. lncRNA	other lncRNA	lncRNA	lncRNA
chr1	26498322	26498323	-	chr1:26498321..26498327,-	antisense_upep	ENSG00000236782.1	True	True	chr4	133799677	133799678	+	chr4:133799669..133799683,+	protein_coding	ENSMUSG00000086322.7	0.19	0.25	0.03	0.0	False	human	mouse	human__antisense:mouse__protein_coding	h.4	m.3	other lncRNA	mRNA	lncRNA	mRNA
chr1	65533428	65533429	-	chr1:65533390..65533443,-	intergenic	ENSG00000231485.1	True	True	chr4	101029317	101029318	-	chr4:101029310..101029334,-	intergenic_upep	ENSMUSG00000086782.2	1.84	0.61	0.841111	0.4975	False	human	mouse	human__intergenic:mouse__intergenic	h.5	m.4	lincRNA	other lncRNA	lncRNA	lncRNA
chr1	65533462	65533463	-	chr1:65533457..65533465,-	intergenic	ENSG00000231485.1	True	True	chr4	101029317	101029318	-	chr4:101029310..101029334,-	intergenic_upep	ENSMUSG00000086782.2	0.13	0.61	0.116667	0.4975	False	human	mouse	human__intergenic:mouse__intergenic	h.6	m.4	lincRNA	other lncRNA	lncRNA	lncRNA
chr1	71547031	71547032	+	chr1:71547013..71547057,+	div_lnc	ENSG00000229956.5	True	True	chr3	157197051	157197052	-	chr3:157197041..157197058,-	div_lnc	ENSMUSG00000105834.1	1.14	0.32	0.401111	0.2925	False	human	mouse	human__divergent:mouse__divergent	h.7	m.5	div. lncRNA	div. lncRNA	lncRNA	lncRNA
chr1	95975698	95975699	+	chr1:95975684..95975731,+	intergenic_upep	ENSG00000228971.2	True	True	chr3	120589658	120589659	-	chr3:120589646..120589664,-	intergenic	ENSMUSG00000098097.7	0.84	0.1	0.09	0.0	False	human	mouse	human__intergenic:mouse__intergenic	h.8	m.6	other lncRNA	lincRNA	lncRNA	lncRNA
chr1	98515153	98515154	-	chr1:98515146..98515159,-	intergenic	ENSG00000225206.4	True	True	chr3	118133265	118133266	+	chr3:118133217..118133286,+	intergenic_upep	ENSMUSG00000097311.7	0.06	0.99	0.0	0.05125	False	human	mouse	human__intergenic:mouse__intergenic	h.9	m.7	lincRNA	other lncRNA	lncRNA	lncRNA
chr1	98515194	98515195	-	chr1:98515173..98515200,-	intergenic	ENSG00000225206.4	True	True	chr3	118133265	118133266	+	chr3:118133217..118133286,+	intergenic_upep	ENSMUSG00000097311.7	0.4	0.99	0.0	0.05125	False	human	mouse	human__intergenic:mouse__intergenic	h.10	m.7	lincRNA	other lncRNA	lncRNA	lncRNA
chr1	101491462	101491463	+	chr1:101491406..101491471,+	div_lnc	ENSG00000233184.2	True	True	chr3	115591014	115591015	-	chr3:115591004..115591055,-	div_lnc	ENSMUSG00000054426.11	8.32	9.56	5.603330000000001	3.8625	False	human	mouse	human__divergent:mouse__divergent	h.11	m.8	div. lncRNA	div. lncRNA	lncRNA	lncRNA
