Ensembl ID	HGNC symbol	Motif evidence	Motif ID	Motif type	Motif source	CIS-BP ID	Best Motif(s)? (Figure 2A)
ENSG00000267281	AC023509.3	"Inferred - ATF7 (100% AA Identity, Homo sapiens)"	ATF7_eDBD_HT-SELEX	HT-SELEX	Yin2017	M08490_1.94d	TRUE
ENSG00000267281	AC023509.3	"Inferred - ATF7 (100% AA Identity, Homo sapiens)"	ATF7_eDBD_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M08491_1.94d	
ENSG00000267281	AC023509.3	"Inferred - Atf7 (98% AA Identity, Mus musculus)"	3T3L1-Atf7_GSE56872	Misc	HOMER	M06975_1.94d	
ENSG00000264668	AC138696.1	"Inferred - ZFP41 (100% AA Identity, Homo sapiens)"	ZFP41_FL_HT-SELEX	HT-SELEX	Yin2017	M09315_1.94d	TRUE
ENSG00000264668	AC138696.1	"Inferred - ZFP41 (100% AA Identity, Homo sapiens)"	ZFP41_FL_Methyl-HT-SELEX	Methyl-HT-SELEX	Yin2017	M09316_1.94d	
ENSG00000106546	AHR	Direct	AHR_si	Misc	HocoMoco	M06439_1.94d	
ENSG00000106546	AHR	Direct	V$AHR_01	Transfac	Transfac	M03662_1.94d	
ENSG00000106546	AHR	Direct	V$AHR_Q5	Transfac	Transfac	M03663_1.94d	TRUE
ENSG00000106546	AHR	Direct	V$AHR_Q6	Transfac	Transfac	M03665_1.94d	
ENSG00000106546	AHR	Direct	V$AHR_Q6_01	Transfac	Transfac	M03664_1.94d	
ENSG00000063438	AHRR	"Inferred - AHR (79% AA Identity, Homo sapiens)"	AHR_si	Misc	HocoMoco	M06439_1.94d	
ENSG00000063438	AHRR	"Inferred - AHR (79% AA Identity, Homo sapiens)"	V$AHR_01	Transfac	Transfac	M03662_1.94d	
ENSG00000063438	AHRR	"Inferred - AHR (79% AA Identity, Homo sapiens)"	V$AHR_Q5	Transfac	Transfac	M03663_1.94d	TRUE
ENSG00000063438	AHRR	"Inferred - AHR (79% AA Identity, Homo sapiens)"	V$AHR_Q6	Transfac	Transfac	M03665_1.94d	
ENSG00000063438	AHRR	"Inferred - AHR (79% AA Identity, Homo sapiens)"	V$AHR_Q6_01	Transfac	Transfac	M03664_1.94d	
